Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
3e-06,TraderTwo,Tick,0,0,0,0,,,0,0,0,OK
0.222114,TraderTwo,Tick,0,0,0,0,127700,,0,0,0,OK
0.512424,TraderTwo,Tick,0,0,0,0,126600,,0,0,0,OK
0.746229,TraderTwo,Tick,0,0,0,0,126600,,0,0,0,OK
0.997634,TraderTwo,Tick,0,0,0,0,126600,,0,0,0,OK
1.202084,TraderTwo,Tick,0,0,0,0,126600,126700,0,0,0,OK
1.487186,TraderTwo,Tick,0,0,0,0,126600,126800,0,0,0,OK
1.704561,TraderTwo,Tick,0,0,0,0,126600,126800,0,0,0,OK
1.955559,TraderTwo,Tick,0,0,0,0,126600,126800,0,0,0,OK
2.204559,TraderTwo,Tick,0,0,0,0,126600,126800,0,0,0,OK
2.483926,TraderTwo,Tick,0,0,0,0,126600,126800,0,0,0,OK
2.76679,TraderTwo,Tick,0,0,0,0,126600,126800,0,0,0,OK
3.004232,TraderTwo,Tick,0,0,0,0,126600,127300,0,0,0,OK
3.269157,TraderTwo,Tick,0,0,0,0,126600,127200,0,0,0,OK
3.475397,TraderTwo,Tick,0,0,0,0,126600,127200,0,0,0,OK
3.767405,TraderTwo,Tick,0,0,0,0,128000,127400,0,0,0,OK
4.003405,TraderTwo,Tick,0,0,0,0,128000,127400,0,0,0,OK
4.277588,TraderTwo,Tick,0,0,0,0,128000,127600,0,0,0,OK
4.528834,TraderTwo,Tick,0,0,0,0,128000,127600,0,0,0,OK
4.750296,TraderTwo,Tick,0,0,0,0,128000,127700,0,0,0,OK
4.963441,TraderTwo,Tick,0,0,0,0,128000,127700,0,0,0,OK
5.252008,TraderTwo,Tick,0,0,0,0,128000,128000,0,0,0,OK
5.514448,TraderTwo,Tick,0,0,0,0,128000,128000,0,0,0,OK
5.713456,TraderTwo,Tick,0,0,0,0,128000,128000,0,0,0,OK
6.009362,TraderTwo,Tick,0,0,0,0,128000,128000,0,0,0,OK
6.281569,TraderTwo,Tick,0,0,0,0,128000,128000,0,0,0,OK
6.535409,TraderTwo,Tick,0,0,0,0,127200,127700,0,0,0,OK
6.715633,TraderTwo,Tick,0,0,0,0,127200,127700,0,0,0,OK
6.982055,TraderTwo,Tick,0,0,0,0,128200,127700,0,0,0,OK
7.297922,TraderTwo,Tick,0,0,0,0,128200,127600,0,0,0,OK
7.487728,TraderTwo,Tick,0,0,0,0,128200,127600,0,0,0,OK
7.728874,TraderTwo,Tick,0,0,0,0,128200,127600,0,0,0,OK
8.030851,TraderTwo,Tick,0,0,0,0,128200,127600,0,0,0,OK
8.263708,TraderTwo,Tick,0,0,0,0,128200,127600,0,0,0,OK
8.527912,TraderTwo,Tick,0,0,0,0,128200,127400,0,0,0,OK
8.730848,TraderTwo,Tick,0,0,0,0,128200,127400,0,0,0,OK
8.991198,TraderTwo,Tick,0,0,0,0,128200,127400,0,0,0,OK
9.282454,TraderTwo,Tick,0,0,0,0,127200,127800,0,0,0,OK
9.543182,TraderTwo,Tick,0,0,0,0,127200,127800,0,0,0,OK
9.730123,TraderTwo,Tick,0,0,0,0,127000,127800,0,0,0,OK
9.989852,TraderTwo,Tick,0,0,0,0,127000,127500,0,0,0,OK
10.236749,TraderTwo,Tick,0,0,0,0,127000,127500,0,0,0,OK
10.478597,TraderTwo,Tick,0,0,0,0,127000,127500,0,0,0,OK
10.732821,TraderTwo,Tick,0,0,0,0,126900,127500,0,0,0,OK
11.028779,TraderTwo,Tick,0,0,0,0,127300,127500,0,0,0,OK
11.256151,TraderTwo,Tick,0,0,0,0,127900,127600,0,0,0,OK
11.532061,TraderTwo,Tick,0,0,0,0,127900,127600,0,0,0,OK
11.791597,TraderTwo,Tick,0,0,0,0,127900,127600,0,0,0,OK
12.03986,TraderTwo,Tick,0,0,0,0,127900,127600,0,0,0,OK
12.209297,TraderTwo,Tick,0,0,0,0,127900,127600,0,0,0,OK
12.535131,TraderTwo,Tick,0,0,0,0,127900,127700,0,0,0,OK
12.758269,TraderTwo,Tick,0,0,0,0,127900,127700,0,0,0,OK
12.965091,TraderTwo,Tick,0,0,0,0,127900,127700,0,0,0,OK
13.22416,TraderTwo,Tick,0,0,0,0,127900,127700,0,0,0,OK
13.488018,TraderTwo,Tick,0,0,0,0,127900,127700,0,0,0,OK
13.754054,TraderTwo,Tick,0,0,0,0,128200,127700,0,0,0,OK
13.983944,TraderTwo,Tick,0,0,0,0,128200,127700,0,0,0,OK
14.200547,TraderTwo,Tick,0,0,0,0,127800,127600,0,0,0,OK
14.49224,TraderTwo,Tick,0,0,0,0,127800,127600,0,0,0,OK
14.757708,TraderTwo,Tick,0,0,0,0,127800,127600,0,0,0,OK
15.043171,TraderTwo,Tick,0,0,0,0,128000,127600,0,0,0,OK
15.251472,TraderTwo,Tick,0,0,0,0,128300,127600,0,0,0,OK
15.460949,TraderTwo,Tick,0,0,0,0,128300,127600,0,0,0,OK
15.740104,TraderTwo,Tick,0,0,0,0,128300,127600,0,0,0,OK
15.95449,TraderTwo,Tick,0,0,0,0,128300,127600,0,0,0,OK
16.261013,TraderTwo,Tick,0,0,0,0,128300,127600,0,0,0,OK
16.462627,TraderTwo,Tick,0,0,0,0,128300,127600,0,0,0,OK
16.767435,TraderTwo,Tick,0,0,0,0,128100,127600,0,0,0,OK
17.048024,TraderTwo,Tick,0,0,0,0,128100,127600,0,0,0,OK
17.20578,TraderTwo,Tick,0,0,0,0,128100,127600,0,0,0,OK
17.506105,TraderTwo,Tick,0,0,0,0,128100,127700,0,0,0,OK
17.796217,TraderTwo,Tick,0,0,0,0,128100,127700,0,0,0,OK
18.047796,TraderTwo,Tick,0,0,0,0,128100,127800,0,0,0,OK
18.208128,TraderTwo,Tick,0,0,0,0,128100,127800,0,0,0,OK
18.491943,TraderTwo,Tick,0,0,0,0,127500,128000,0,0,0,OK
18.782211,TraderTwo,Tick,0,0,0,0,127500,128000,0,0,0,OK
18.955589,TraderTwo,Tick,0,0,0,0,127500,128000,0,0,0,OK
19.26734,TraderTwo,Tick,0,0,0,0,127500,128000,0,0,0,OK
19.533728,TraderTwo,Tick,0,0,0,0,127500,128000,0,0,0,OK
19.76373,TraderTwo,Tick,0,0,0,0,127500,128000,0,0,0,OK
20.022519,TraderTwo,Tick,0,0,0,0,127500,128000,0,0,0,OK
20.208766,TraderTwo,Tick,0,0,0,0,127500,128000,0,0,0,OK
20.528437,TraderTwo,Tick,0,0,0,0,127500,128000,0,0,0,OK
20.771788,TraderTwo,Tick,0,0,0,0,127500,128000,0,0,0,OK
21.030188,TraderTwo,Tick,0,0,0,0,127500,128100,0,0,0,OK
21.231105,TraderTwo,Tick,0,0,0,0,127500,128100,0,0,0,OK
21.503082,TraderTwo,Tick,0,0,0,0,127500,128100,0,0,0,OK
21.768633,TraderTwo,Tick,0,0,0,0,127500,128100,0,0,0,OK
21.997268,TraderTwo,Tick,0,0,0,0,127600,128100,0,0,0,OK
22.247976,TraderTwo,Tick,0,0,0,0,127600,128100,0,0,0,OK
22.518174,TraderTwo,Tick,0,0,0,0,127600,128100,0,0,0,OK
22.772408,TraderTwo,Tick,0,0,0,0,127600,128100,0,0,0,OK
22.988597,TraderTwo,Tick,0,0,0,0,127600,128100,0,0,0,OK
23.215083,TraderTwo,Tick,0,0,0,0,127600,128100,0,0,0,OK
23.534347,TraderTwo,Tick,0,0,0,0,127600,127700,0,0,0,OK
23.782827,TraderTwo,Tick,0,0,0,0,128200,127700,0,0,0,OK
24.004918,TraderTwo,Tick,0,0,0,0,128200,127700,0,0,0,OK
24.21536,TraderTwo,Tick,0,0,0,0,128200,127600,0,0,0,OK
24.507527,TraderTwo,Tick,0,0,0,0,128200,127600,0,0,0,OK
24.780295,TraderTwo,Tick,0,0,0,0,127500,127600,0,0,0,OK
24.975396,TraderTwo,Tick,0,0,0,0,127500,127600,0,0,0,OK
25.281647,TraderTwo,Tick,0,0,0,0,127500,127700,0,0,0,OK
25.498603,TraderTwo,Tick,0,0,0,0,127500,127700,0,0,0,OK
25.739235,TraderTwo,Tick,0,0,0,0,127500,127700,0,0,0,OK
26.018311,TraderTwo,Tick,0,0,0,0,128500,127700,0,0,0,OK
26.287857,TraderTwo,Tick,0,0,0,0,128500,127700,0,0,0,OK
26.531052,TraderTwo,Tick,0,0,0,0,128500,127700,0,0,0,OK
26.749136,TraderTwo,Tick,0,0,0,0,128500,127700,0,0,0,OK
27.024594,TraderTwo,Tick,0,0,0,0,128500,127700,0,0,0,OK
27.246089,TraderTwo,Tick,0,0,0,0,128500,127700,0,0,0,OK
27.492413,TraderTwo,Tick,0,0,0,0,128500,127700,0,0,0,OK
27.726834,TraderTwo,Tick,0,0,0,0,128500,127700,0,0,0,OK
28.010242,TraderTwo,Tick,0,0,0,0,128500,127700,0,0,0,OK
28.202499,TraderTwo,Tick,0,0,0,0,127900,127700,0,0,0,OK
28.495245,TraderTwo,Tick,0,0,0,0,127900,127700,0,0,0,OK
28.750172,TraderTwo,Tick,0,0,0,0,127900,127700,0,0,0,OK
28.957703,TraderTwo,Tick,0,0,0,0,127900,127700,0,0,0,OK
29.21918,TraderTwo,Tick,0,0,0,0,127900,127700,0,0,0,OK
29.493071,TraderTwo,Tick,0,0,0,0,127900,127700,0,0,0,OK
29.778568,TraderTwo,Tick,0,0,0,0,127900,127700,0,0,0,OK
30.010911,TraderTwo,Tick,0,0,0,0,127900,127700,0,0,0,OK
30.288503,TraderTwo,Tick,0,0,0,0,127600,127700,0,0,0,OK
30.51862,TraderTwo,Tick,0,0,0,0,127600,127700,0,0,0,OK
30.734763,TraderTwo,Tick,0,0,0,0,127600,127700,0,0,0,OK
31.034727,TraderTwo,Tick,0,0,0,0,127600,127700,0,0,0,OK
31.225606,TraderTwo,Tick,0,0,0,0,127900,127700,0,0,0,OK
31.457944,TraderTwo,Tick,0,0,0,0,127900,127800,0,0,0,OK
31.770614,TraderTwo,Tick,0,0,0,0,127900,127800,0,0,0,OK
31.966636,TraderTwo,Tick,0,0,0,0,127900,127800,0,0,0,OK
32.208521,TraderTwo,Tick,0,0,0,0,127900,127800,0,0,0,OK
32.464479,TraderTwo,Tick,0,0,0,0,127900,127500,0,0,0,OK
32.768751,TraderTwo,Tick,0,0,0,0,127200,127500,0,0,0,OK
32.994008,TraderTwo,Tick,0,0,0,0,127200,127400,0,0,0,OK
33.257457,TraderTwo,Tick,0,0,0,0,127200,127100,0,0,0,OK
33.537724,TraderTwo,Tick,0,0,0,0,127200,127100,0,0,0,OK
33.757009,TraderTwo,Tick,0,0,0,0,127200,127100,0,0,0,OK
33.975644,TraderTwo,Tick,0,0,0,0,127200,127200,0,0,0,OK
34.255746,TraderTwo,Tick,0,0,0,0,127200,127200,0,0,0,OK
34.488362,TraderTwo,Tick,0,0,0,0,127100,127200,0,0,0,OK
